name,age_yr,length_m,wingspan_m,height_m,mass_kg,wing_area_m2
Lore,0.0,0.75,1.88,0.75,29.0,0.59
Lore,1.0,1.5,3.75,1.0,117.0,2.34
Lore,2.5,5.0,12.5,1.75,1302.0,26.04
Lore,4.0,13.5,33.75,2.0,9492.0,189.84
Lore,8.0,21.0,52.5,4.0,22969.0,459.38
Tyraxes,9.0,25.0,36.0,3.0,59051.39833711262,329.1428571428571
Viserion,9.0,120.0,150.0,40.0,6530612.244897959,5714.285714285714
Arrax,10.0,26.0,35.0,3.0,66424.79213907785,311.1111111111111
Shrykos,10.0,25.0,34.0,3.0,59051.39833711262,293.58730158730157
Moondancer,13.0,30.0,36.0,4.0,102040.8163265306,329.1428571428571
Stormcloud,22.0,39.0,45.0,6.0,224183.67346938775,514.2857142857142
Ghiscar,23.0,40.0,44.0,6.0,241874.5275888133,491.68253968253964
Sunfyre,33.0,50.0,56.0,8.0,472411.186696901,796.4444444444443
Seasmoke,38.0,53.0,58.0,9.0,562649.2819349963,854.3492063492063
Syrax,38.0,53.0,59.0,9.0,562649.2819349963,884.063492063492
Archonei,45.0,55.0,60.0,10.0,628779.2894935752,914.2857142857142
Wildfyre,46.0,56.0,62.0,10.0,663703.7037037037,976.2539682539682
Grey Ghost,50.0,58.0,66.0,10.0,737384.7316704459,1106.2857142857142
Valryon,53.0,60.0,68.0,12.0,816326.5306122449,1174.3492063492063
Vermithrax,62.0,68.0,76.0,13.0,1188329.5540438397,1466.920634920635
Quicksilver,65.0,72.0,78.0,14.0,1410612.244897959,1545.142857142857
Caraxes,68.0,75.0,80.0,15.0,1594387.7551020407,1625.3968253968253
Morning,70.0,80.0,90.0,18.0,1934996.2207105064,2057.142857142857
Vermax,81.0,85.0,96.0,20.0,2320956.1602418744,2340.5714285714284
Meleys,83.0,90.0,100.0,24.0,2755102.0408163266,2539.6825396825398
Tessarion,100.0,100.0,120.0,25.0,3779289.493575208,3657.142857142857
Morghul,120.0,115.0,136.0,32.0,5747826.908541194,4697.396825396825
Vermithor,120.0,113.0,120.0,30.0,5453125.472411186,3657.142857142857
Balerion,141.0,115.0,123.0,33.0,5747826.908541194,3842.285714285714
Meraxes,155.0,116.0,125.0,34.0,5899077.853363567,3968.253968253968
Sheepstealer,164.0,118.0,130.0,35.0,6209493.575207861,4292.063492063492
Vhagar,185.0,126.0,146.0,38.0,7560000.0,5413.587301587301
Essovius,190.0,123.0,146.0,38.0,7032755.102040816,5413.587301587301
Silverwing,200.0,129.0,145.0,39.0,8112959.183673469,5339.68253968254
Dreamfyre,220.0,130.0,148.0,40.0,8303099.017384731,5562.920634920634
Balerion,225.0,135.0,160.0,50.0,9298469.387755102,6501.587301587301
Nightshadow,250.0,150.0,182.0,53.0,12755102.040816326,8412.444444444443
Blackfyre the Cannibal,255.0,150.0,180.0,55.0,12755102.040816326,8228.571428571428
Rhaegal,310.0,180.0,220.0,60.0,22040816.326530613,12292.063492063491
Balerion,315.0,180.0,220.0,60.0,22040816.326530613,12292.063492063491
