x,y,n_points,pearson,spearman,best_fit_type,best_fit_r2,best_fit_eqn,figure
length_m,wingspan_m,40,0.9909804027074611,0.9919290518170287,poly4,0.9902598678131064,y = 5.8943e+00*x**0 + 1.5123e+00*x**1 + -1.5798e-02*x**2 + 1.5220e-04*x**3 + -4.1374e-07*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/wingspan_m_vs_length_m_fit.png
length_m,height_m,40,0.9768949463587461,0.996573019802051,poly4,0.9929627110276719,y = 2.5861e-01*x**0 + 1.9272e-01*x**1 + -3.0485e-03*x**2 + 5.6668e-05*x**3 + -1.9640e-07*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/height_m_vs_length_m_fit.png
length_m,mass_kg,40,0.888529285297641,1.0,poly4,0.9999998891296251,y = -1.9078e+02*x**0 + -9.7584e+01*x**1 + 2.8934e+00*x**2 + 3.7538e+00*x**3 + 6.9296e-05*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/mass_kg_vs_length_m_fit.png
length_m,wing_area_m2,40,0.9341799924979736,0.9939937132617493,poly4,0.9935410301821934,y = -2.4038e+01*x**0 + 1.6130e+01*x**1 + -1.7668e-01*x**2 + 4.2751e-03*x**3 + -9.2949e-06*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/wing_area_m2_vs_length_m_fit.png
wingspan_m,height_m,40,0.9846597106510513,0.9965732015376116,poly4,0.9914006853522408,y = 5.2183e-01*x**0 + 2.6074e-02*x**1 + 1.7142e-03*x**2 + 4.5742e-06*x**3 + -3.3136e-08*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/height_m_vs_wingspan_m_fit.png
wingspan_m,mass_kg,40,0.9179352865932349,0.9919290518170287,poly4,0.9939153899025988,y = 2.4122e+05*x**0 + -3.7569e+04*x**1 + 9.3012e+02*x**2 + -4.0162e+00*x**3 + 1.1853e-02*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/mass_kg_vs_wingspan_m_fit.png
wingspan_m,wing_area_m2,40,0.9606791819075601,0.9994369369369369,poly4,0.9998498287581875,y = 3.7341e+00*x**0 + -1.9041e+00*x**1 + 2.9293e-01*x**2 + -2.5721e-04*x**3 + 5.4228e-07*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/wing_area_m2_vs_wingspan_m_fit.png
height_m,mass_kg,40,0.9297539156386139,0.996573019802051,poly4,0.9877634373832898,y = 7.4296e+05*x**0 + -3.6697e+05*x**1 + 4.5194e+04*x**2 + -1.2978e+03*x**3 + 1.2371e+01*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/mass_kg_vs_height_m_fit.png
height_m,wing_area_m2,40,0.9673332596016976,0.997324304803173,poly4,0.9898431098238943,y = 2.3760e+02*x**0 + -4.3635e+01*x**1 + 1.5367e+01*x**2 + -4.6004e-01*x**3 + 4.5110e-03*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/wing_area_m2_vs_height_m_fit.png
mass_kg,wing_area_m2,40,0.9887695895131282,0.9939937132617493,poly4,0.9933814197677264,y = 2.2170e+02*x**0 + 1.1110e-03*x**1 + -1.0675e-10*x**2 + 7.9076e-18*x**3 + -1.9164e-25*x**4,/Users/palmuuu/Desktop/dragon_project/src/../outputs/figures/wing_area_m2_vs_mass_kg_fit.png
